food_code,name,basis_unit,per100_kcal,per100_protein_g,per100_fat_g,per100_carb_g,per100_sugar_g,source
R211-157014001-1678,붉은메기_육_생것_동해EEZ_2월,100g,83,18.90,0.37,0.00,,수산과학원
R211-157014001-1198,붉은메기_육_생것_부산_3월,100g,83,18.20,0.70,0.00,0.00,수산과학원
R211-159034050-0000,붕어_육_구운것_대표_평균,100g,196,18.00,4.40,14.40,,수산과학원
R211-159034046-0000,붕어_육_삶은것_대표_평균,100g,250,15.70,4.40,28.60,,수산과학원
R211-159034001-0649,붕어_육_생것_대전_평균,100g,94,18.10,1.80,0.10,0.10,수산과학원
R211-159034001-0010,붕어_육_생것_대표_10월,100g,87,18.47,0.97,0.00,,수산과학원
R211-159034001-0005,붕어_육_생것_대표_5월,100g,89,19.19,0.85,0.00,,수산과학원
R211-159034001-0007,붕어_육_생것_대표_7월,100g,84,17.93,0.87,0.00,,수산과학원
R211-161014001-0831,블루길_육_생것_가평(청평)_평균,100g,83,17.80,0.80,0.20,0.20,수산과학원
R211-163014050-0000,빙어류_바다빙어_육_구운것_대표_평균,100g,138,22.60,3.10,0.00,,수산과학원
R211-163014001-1205,빙어류_바다빙어_육_생것_부산_10월,100g,92,17.40,1.90,0.10,0.10,수산과학원
R211-163034004-0000,빙어류_빙어_육_삶아서 말린것_대표_평균,100g,210,34.20,4.70,0.00,,수산과학원
R211-163034001-1201,빙어류_빙어_육_생것_부산_6월,100g,85,18.40,0.80,0.00,0.00,수산과학원
R211-163034062-0000,빙어류_빙어_육_장류를 넣고 가열하여 조린것_대표_평균,100g,290,26.70,5.10,27.00,,수산과학원
R211-163054001-0005,빙어류_샛멸_육_생것_대표_5월,100g,90,19.50,0.70,0.16,,수산과학원
R211-163054001-7300,빙어류_샛멸_육_생것_수입_평균,100g,91,19.50,0.60,,,수산과학원
R211-165014001-1199,빨강부치_육_생것_부산_4월,100g,71,15.80,0.50,0.00,0.00,수산과학원
R112-833013901-0899,산호류_산호_전체_생것_통영_3월,100g,80,7.94,0.64,9.78,,수산과학원
R112-833033901-0899,산호류_산호말_전체_생것_통영_3월,100g,42,2.79,0.43,16.81,,수산과학원
R211-167014001-0005,살살치_육_생것_대표_5월,100g,94,20.97,0.29,0.65,,수산과학원
R211-167014001-0759,살살치_육_생것_여수_6월,100g,70,15.50,0.20,0.60,0.60,수산과학원
R211-491014001-1197,살조개_육_생것_부산_2월,100g,89,14.20,1.50,3.60,3.60,수산과학원
R211-169014001-1370,삼세기_육_생것_포항_6월,100g,97,18.60,1.80,0.50,0.50,수산과학원
